,0,1,2
34,2.1825769383185615e-06,1.4047073373849253e-05,0.00010577405512718715
35,1.5482901186808267e-06,1.042757776642517e-05,8.305711489200649e-05
36,1.1248299097105583e-06,7.892753154684606e-06,6.572505359970677e-05
37,8.161296109254302e-07,5.956426536358139e-06,5.235670570933807e-05
38,5.75757038622971e-07,4.513266992537814e-06,4.16214054707391e-05
39,4.200467956456754e-07,3.3878665543543217e-06,3.362550912329439e-05
40,3.052246468827707e-07,2.610659943780289e-06,2.7070886174083736e-05
41,2.1973045431570996e-07,1.9778635321971562e-06,2.1515548034323725e-05
42,1.5640152551204515e-07,1.5129113482540642e-06,1.7002315886296244e-05
43,1.1156187673040516e-07,1.1259313603200765e-06,1.374503015568587e-05
44,8.129782354886717e-08,8.512707765220502e-07,1.0963810808437797e-05
45,5.710824820074952e-08,6.416935070698146e-07,8.634187704545904e-06
46,4.120185424921226e-08,4.804533093771687e-07,6.925889890538986e-06
47,2.9033435119760336e-08,3.6843181685370105e-07,5.439809750844563e-06
48,2.057296015233934e-08,2.791177692165874e-07,4.364739770823417e-06
49,1.5009211127015916e-08,2.101733916865428e-07,3.4280148101150675e-06
50,1.0612777210220442e-08,1.5818995212734653e-07,2.7431722448947225e-06
51,7.709679625265234e-09,1.2048888900797358e-07,2.2162080630480227e-06
52,5.534917049409336e-09,9.059567305127144e-08,1.7610420777764239e-06
53,3.999931136440804e-09,6.821115623697888e-08,1.4118304414418886e-06
54,2.835157336384328e-09,5.196176902228646e-08,1.135347755562689e-06
55,2.0603534027817816e-09,3.9392448532702776e-08,9.024372547118044e-07
56,1.4623734440922753e-09,2.9548272968195414e-08,7.202516327813915e-07
57,1.0529627920050708e-09,2.245803101403884e-08,5.744432038631792e-07
58,7.380597698100399e-10,1.6709919932303744e-08,4.5287113979599144e-07
59,5.33851436890546e-10,1.2498935347393835e-08,3.7122440561761635e-07
60,3.8121323731380864e-10,9.453846121766572e-09,3.041345428442885e-07
61,2.70620735913757e-10,7.117157442555485e-09,2.4337193769663063e-07
62,1.942295909481072e-10,5.33999954342094e-09,1.9681834590185887e-07
63,1.4121499707865059e-10,4.06833104849695e-09,1.625019770715636e-07
64,1.017585136855301e-10,3.088185923539693e-09,1.3090759235860262e-07
65,7.338011111441446e-11,2.3102810169726683e-09,1.061964744989702e-07
66,5.31565758941231e-11,1.736987138820589e-09,8.441681932638485e-08
67,3.783524693812891e-11,1.325056575964436e-09,6.691478164985462e-08
68,2.7592624109393186e-11,1.0144623102231092e-09,5.316420566449859e-08
69,2.0014524498508375e-11,7.800714755308251e-10,4.244404445736605e-08
70,1.4726713608045265e-11,5.950885460742159e-10,3.4201559331559975e-08
71,1.0660475820007225e-11,4.562822969357286e-10,2.7764067250203713e-08
72,7.738168492918575e-12,3.450325166638728e-10,2.213794344813039e-08
73,5.4299114314545814e-12,2.650870167256803e-10,1.7981451318115706e-08
74,3.968886001711051e-12,1.9774419755321252e-10,1.4442871761249822e-08
75,2.922167244085008e-12,1.5026542285029467e-10,1.1637336616073062e-08
76,2.1554027812729285e-12,1.1172964846670449e-10,9.247816818489011e-09
77,1.5694086688731171e-12,8.453364438671134e-11,7.450336228038559e-09
78,1.1458338548475934e-12,6.443207584010838e-11,6.073115677392223e-09
79,8.368050401794802e-13,4.8639489968022195e-11,4.856549802394172e-09
80,6.044374863105062e-13,3.64400341342667e-11,3.922587912120191e-09
81,4.368482455159286e-13,2.7515350068814554e-11,3.1792181299679685e-09
82,3.156828238058516e-13,2.0882237644156664e-11,2.5446085025855043e-09
83,2.2653679326503308e-13,1.5874832894277998e-11,2.063829745076212e-09
84,1.6030399219127153e-13,1.186167221773801e-11,1.6529955178349812e-09
85,1.1726018258824464e-13,9.047365755374264e-12,1.3298563549862278e-09
86,8.475296731962003e-14,6.811000819573639e-12,1.0703028395014303e-09
87,6.049334397998099e-14,5.149528830431417e-12,8.616012133543535e-10
88,4.428755926748784e-14,3.891220462106357e-12,7.011669338103862e-10
89,3.2026169964777145e-14,2.9413862810163024e-12,5.695992746061923e-10
90,2.357854520093716e-14,2.2393214759422555e-12,4.6352033666384295e-10
91,1.720012348121695e-14,1.731541432088538e-12,3.7953342006205997e-10
92,1.2289460480907766e-14,1.3062596543631832e-12,3.1014339291545275e-10
93,8.880586307558374e-15,9.930946674430504e-13,2.4945409174831496e-10
94,6.512938806228491e-15,7.592446032955792e-13,2.0056899696936327e-10
95,4.915090665008201e-15,5.771554160827791e-13,1.6195419789066288e-10
96,3.6477865278464735e-15,4.3380975871256783e-13,1.3458990753193002e-10
97,3.0696609739227344e-15,3.2867212190754566e-13,1.0966437923818147e-10
98,2.810934984979657e-15,2.5121830536146155e-13,8.82894760217953e-11
99,2.584403582002167e-15,1.9114071115750688e-13,7.024955120042831e-11
